"POPONE"	"POPTWO"	"POPTHREE"	"DISP"
181	16582	45551	0.2269223
3795	2382	4692	0.2787938
234	1625	671	0.155558
833	417	2307	0.1513159
1744	6861	656	0.1047672
428	598	3495	0.0168075
6073	16791	700	0.1869516
7009	15301	4117	0.2241136
72166	81201	38175	0.2172103
9327	12490	105	0.0300003
1676	995	379	0.0743421
64930	1065	36761	0.27342
2153	27384	13309	0.0274837
21011	32634	185	0.1017625
22977	56097	48689	0.2407133
25542	37571	58210	0.0070807
96955	67417	947	0.0177458
642	216	8866	0.1507401
318	2396	8385	0.0357392
2848	10711	79421	0.0765801
73077	1248	15208	0.2438527
59903	10959	29931	0.278753
83751	56626	1568	0.1792323
1943	48694	2250	0.2716971
312	15831	6605	0.2455055
37412	343	68274	0.0567395
37473	1065	1238	0.2883935
54478	1691	3479	0.2573776
66980	85983	1627	0.0614946
1932	119	5230	0.0269602
21574	5983	2277	0.1352874
578	2583	4711	0.2935853
6395	786	18392	0.1570641
19661	4694	16761	0.029001
1864	17687	1686	0.2162509
566	25038	1172	0.2653388
262	26219	272	0.2935764
8414	87105	1106	0.0558971
247	839	155	0.1002377
1745	1454	2203	0.2283716
57147	6999	4538	0.0573714
298	13895	3197	0.0172564
32760	6207	151	0.1350459
1420	6005	16817	0.1774976
2417	271	1453	0.2760066
147	323	3915	0.2522127
1376	262	81979	0.1719894
1573	120	6098	0.1098039
53990	27170	9601	0.2403117
1762	19518	267	0.1644094
1084	100	5933	0.2164967
58858	341	9251	0.0871545
60964	59002	1226	0.2522066
92430	1826	315	0.165896
12965	16704	3902	0.1071645
788	16381	55583	0.0871254
572	150	37770	0.1987527
10202	4925	64383	0.0511768
445	2463	4692	0.0648169
350	214	10558	0.2479956
2026	490	134	0.0125197
15298	37224	2254	0.1861063
4747	6358	66983	0.2258587
191	5434	6844	0.052354
22527	240	311	0.2121643
97425	4316	7045	0.0305118
2911	249	24748	0.2840616
11940	846	202	0.025171
351	61378	1760	0.1638183
8562	1022	10862	0.0234061
670	15682	3118	0.2887062
5055	1491	4611	0.0343372
84622	1877	1797	0.0704056
1795	1247	14930	0.1055062
139	219	7577	0.0546472
434	220	66854	0.1442428
948	427	581	0.039468
107	458	7239	0.2009344
284	16595	736	0.2284616
240	564	1352	0.0409036
179	11299	914	0.1530534
194	91735	267	0.2103928
6470	412	747	0.1537942
951	2367	2367	0.1816911
5510	18791	10472	0.2419141
620	816	16305	0.251845
1047	15905	55329	0.2723565
640	16276	425	0.1040575
3385	1838	47089	0.210027
23173	2823	116	0.2160196
7750	3095	2369	0.0612289
73956	886	62661	0.0935787
1583	4628	34806	0.0657435
88216	8307	60332	0.2212736
333	49741	7204	0.11892
395	9456	10860	0.2650714
5318	24147	145	0.0366043
3201	266	10469	0.0805406
1186	226	75419	0.0135238
925	196	54688	0.1807533
4765	111	734	0.2617257
4111	4495	10109	0.1878871
34560	195	8649	0.1998955
88214	43813	138	0.1083939
260	1047	543	0.2733738
95854	31925	1577	0.2392191
97137	31291	61870	0.0328295
202	1342	161	0.1644603
143	3694	17874	0.1598586
10719	24788	32391	0.0641859
9256	13906	42779	0.1771569
278	32791	40505	0.1682044
232	241	220	0.0637977
97137	4074	3976	0.0033481
77284	19878	231	0.0015421
41933	40782	23358	0.1896719
2106	62195	23319	0.1173971
15730	421	2995	0.1734394
449	225	24546	0.2343635
32866	38707	620	0.2953903
40488	311	91889	0.0290053
3200	395	18886	0.1261426
175	28738	17016	0.0856221
157	7689	14636	0.0232043
3092	18988	24076	0.1101222
